qid	rank	docid	score	title	query_5w	query_text
1	1	72	12.314356	[studies on aging with horse crystalline lens gel as a contribution to biomorphosis of the mammalian crystalline lens .]	the crystalline lens in vertebrates	the crystalline lens in vertebrates, including humans.
1	2	181	8.61709	[the insoluble proteins of bovine crystalline lens .]	the crystalline lens in vertebrates	the crystalline lens in vertebrates, including humans.
1	3	500	6.9686913	[1949.]	the crystalline lens in vertebrates	the crystalline lens in vertebrates, including humans.
1	4	166	5.913895	[changes in dna, rna, and protein synthesis in the developing lens .]	the crystalline lens in vertebrates	the crystalline lens in vertebrates, including humans.
1	5	167	5.6089554	[amino acid transport in the lens in relation to sugar cataracts .]	the crystalline lens in vertebrates	the crystalline lens in vertebrates, including humans.
1	6	142	5.5858464	[the effects of electrophoretically separated lens proteins on lens regeneration in diemyctylus viridescens .]	the crystalline lens in vertebrates	the crystalline lens in vertebrates, including humans.
1	7	15	5.5462112	[lens development.]	the crystalline lens in vertebrates	the crystalline lens in vertebrates, including humans.
1	8	184	5.5054846	[an investigation of mitotic control in the rabbit lens epithelium .]	the crystalline lens in vertebrates	the crystalline lens in vertebrates, including humans.
1	9	165	5.490996	[nucleic acid metabolism in the lens iii.]	the crystalline lens in vertebrates	the crystalline lens in vertebrates, including humans.
1	10	183	5.490996	[nucleic acid metabolism in the lens iii.]	the crystalline lens in vertebrates	the crystalline lens in vertebrates, including humans.
2	1	669	5.581801	[renal factors in the pathogenesis of hypertension renal arteriography and other modern diagnostic procedures have provided the means of establishing a close relationship between high blood pressure and renovascular disease.]	the relationship of blood and	the relationship of blood and cerebrospinal fluid oxygen concentrations or partial pressures.  a method of interest is polarography.
2	2	258	5.3321166	[the determinants of cerebrospinal fluid po2 the effects of oxygen and carbon dioxide breathing in patients with chronic lung disease .]	the relationship of blood and	the relationship of blood and cerebrospinal fluid oxygen concentrations or partial pressures.  a method of interest is polarography.
